Training completed for 100000 timesteps.
Using device: cpu
Evaluation of the best agent (on timestamp 70000) over 100 episodes:
Mean Reward: 0.13, Std Reward: 0.33

*Evaluation of all agents over 100 episodes, in chronological order*

5000 - Mean Reward: 0.04, Std Reward: 0.19
10000 - Mean Reward: 0.06, Std Reward: 0.24
15000 - Mean Reward: 0.09, Std Reward: 0.28
20000 - Mean Reward: 0.07, Std Reward: 0.25
25000 - Mean Reward: 0.07, Std Reward: 0.25
30000 - Mean Reward: 0.06, Std Reward: 0.24
35000 - Mean Reward: 0.09, Std Reward: 0.28
40000 - Mean Reward: 0.12, Std Reward: 0.32
45000 - Mean Reward: 0.09, Std Reward: 0.28
50000 - Mean Reward: 0.11, Std Reward: 0.31
55000 - Mean Reward: 0.11, Std Reward: 0.31
60000 - Mean Reward: 0.06, Std Reward: 0.24
65000 - Mean Reward: 0.06, Std Reward: 0.24
70000 - Mean Reward: 0.13, Std Reward: 0.33
75000 - Mean Reward: 0.11, Std Reward: 0.31
80000 - Mean Reward: 0.09, Std Reward: 0.28
85000 - Mean Reward: 0.08, Std Reward: 0.27
90000 - Mean Reward: 0.09, Std Reward: 0.28
95000 - Mean Reward: 0.08, Std Reward: 0.27
100000 - Mean Reward: 0.12, Std Reward: 0.32
